"Rank","State","2018 Population","2018 Growth","% of US"
1,"California",39776830,0.006074793432817804,0.12125883740009955
2,"Texas",28704330,0.014122582777722714,0.08750455187476729
3,"Florida",21312211,0.015621652275023434,0.0649698311375143
4,"New York",19862512,0.0006606245357856366,0.06055045394430693
5,"Pennsylvania",12823989,0.0014409391812306716,0.039093663244951025
6,"Illinois",12768320,-0.00263263079592968,0.0389239574584611
7,"Ohio",11694664,0.003092564473171633,0.0356509395149085
8,"Georgia",10545138,0.011099318569207206,0.03214663345730695
9,"North Carolina",10390149,0.011362332247910834,0.03167415272041052
10,"Michigan",9991177,0.00289752046488001,0.030457894892041783
11,"New Jersey",9032872,0.0030234373022073324,0.027536522068347627
12,"Virginia",8525660,0.006569051785001667,0.025990296855444055
13,"Washington",7530552,0.016853001785236188,0.022956730853137226
14,"Arizona",7123898,0.015339774552575625,0.021717054607843168
15,"Massachusetts",6895917,0.005262237968669536,0.02102205927992709
16,"Tennessee",6782564,0.00991366268889271,0.02067650502143506
17,"Indiana",6699629,0.004921538281080995,0.020423679402103975
18,"Missouri",6135888,0.0036568059184118873,0.018705126710630838
19,"Maryland",6079602,0.004531427286412759,0.01853354001249773
20,"Wisconsin",5818049,0.0038937220590586907,0.017736201142142593
21,"Colorado",5684203,0.013741195622592128,0.017328174400176134
22,"Minnesota",5628162,0.009245049766829494,0.017157334579437807
23,"South Carolina",5088916,0.012846787327921216,0.015513454385046898
24,"Alabama",4888949,0.002913381966284545,0.014903859152385429
25,"Louisiana",4682509,-0.00038938307759073254,0.014274531114105943
26,"Kentucky",4472265,0.00405820229002396,0.013633606661092807
27,"Oregon",4199563,0.013707475374000522,0.01280228029655642
28,"Oklahoma",3940521,0.0024567118068699045,0.012012596157377993
29,"Connecticut",3588683,0.00013906756175274815,0.010940025345848361
30,"Iowa",3160553,0.00471817023242127,0.009634879962063261
31,"Utah",3159345,0.018541294776346806,0.00963119739923512
32,"Nevada",3056824,0.0196078169763636,0.009318664267029875
33,"Arkansas",3020327,0.005341714268215503,0.009207403923040888
34,"Mississippi",2982785,-0.00044066887838878355,0.009092957918327225
35,"Kansas",2918515,0.0018509345468762373,0.00889703216256176
36,"New Mexico",2090708,0.0012633676074078615,0.006373479772598453
37,"Nebraska",1932549,0.006496097029492498,0.005891335356757313
38,"West Virginia",1803077,-0.007037999137597284,0.005496642662647056
39,"Idaho",1753860,0.021501587414375356,0.005346605663712734
40,"Hawaii",1426393,-0.0008020802248346337,0.0043483293378492
41,"New Hampshire",1350575,0.005793885142557187,0.0041171997447166965
42,"Maine",1341582,0.004248050201099307,0.0040897847716095115
43,"Montana",1062330,0.011268042718989957,0.003238490868559605
44,"Rhode Island",1061712,0.00195632663576939,0.0032366069084372607
45,"Delaware",971180,0.009606638258766953,0.0029606219929096582
46,"South Dakota",877790,0.009341517318142811,0.0026759245239360045
47,"North Dakota",755238,-0.00020519120510775757,0.002302327305629342
48,"Alaska",738068,-0.002334430484120631,0.002249984918411464
49,"District of Columbia",703608,0.013885286438069633,0.0021449343264762235
50,"Vermont",623960,0.0004858439815476068,0.0019021290581518464
51,"Wyoming",573720,-0.009657958105693809,0.0017489734650344211